City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
533,Dongkan,CN,54.25,overcast clouds,33.9997,119.8308,Triumphal Resort
535,Manturovo,RU,35.38,overcast clouds,58.3353,44.7619,ProstoХостел
536,Nelson Bay,AU,60.85,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
538,Saint Anthony,US,37.72,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
542,Yulara,AU,64.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
543,Coihaique,CL,59.61,light intensity shower rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
551,Kivsharivka,UA,44.73,overcast clouds,49.6213,37.7036,"ФОК ""Металург"""
553,San Jeronimo,PE,56.35,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
554,Myitkyina,MM,58.3,clear sky,25.3833,97.4,Shwe Phyu Hotel
556,Svetlogorsk,BY,39.51,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
557,Vangaindrano,MG,67.32,overcast clouds,-23.35,47.6,Hotel Fanilo
559,Bushehr,IR,69.89,clear sky,28.9684,50.8385,Yas Hotel
560,Dejen,ET,56.32,broken clouds,10.1667,38.1333,MAFLAB International Hotel
563,Takapau,NZ,59.5,scattered clouds,-40.0333,176.35,
564,Pingdingshan,CN,46.02,clear sky,33.7385,113.3012,Chengfu Hotel
565,Knysna,ZA,66.58,overcast clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
566,Katsuura,JP,48.31,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
579,Puerto Del Rosario,ES,65.95,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
594,Ranibennur,IN,68.68,overcast clouds,14.6167,75.6167,HOTEL SRI NANDI
595,Menongue,AO,65.95,light rain,-14.6585,17.691,Ritz Lauca
596,Phonhong,LA,66.49,broken clouds,18.5007,102.4166,Manyvong Guest House
597,Faya,SA,64.51,clear sky,18.3851,42.4509,املاك خالد الشعشوع
598,Mugla,TR,54.27,overcast clouds,37.2303,28.3557,Petek Hotel
600,Sale,MA,53.62,scattered clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
607,Fortuna,US,52.14,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
612,Glace Bay,CA,41.45,scattered clouds,46.1969,-59.957,Cedarwoods Bed & Breakfast
614,General Higinio Morinigo,PY,68.9,overcast clouds,-25.95,-55.9167,
615,Dong Hoi,VN,68.13,overcast clouds,17.4833,106.6,Nam Long Hotel
