City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Birin,NP,2021-11-27 18:59:52,26.8865,88.0718,48.47,68,3,4.94
181,Wanganui,NZ,2021-11-27 19:00:39,-39.9333,175.05,59.65,87,100,3.38
182,Bambous Virieux,MU,2021-11-27 19:00:13,-20.3428,57.7575,77.4,71,7,7.61
183,East London,ZA,2021-11-27 18:57:34,-33.0153,27.9116,65.34,88,0,4.61
184,Egvekinot,RU,2021-11-27 19:00:52,66.3167,-179.1667,-16.94,87,2,6.24
185,Mechanicsville,US,2021-11-27 19:00:53,37.6088,-77.3733,47.03,31,20,10.36
186,Boyolangu,ID,2021-11-27 19:00:53,-8.1181,111.8935,76.21,91,100,3.0
187,Abu Kamal,SY,2021-11-27 19:00:53,34.4506,40.9171,62.69,49,100,0.36
188,Nishihara,JP,2021-11-27 19:00:53,26.1842,127.7558,70.88,53,75,18.41
189,Gizo,SB,2021-11-27 19:00:54,-8.103,156.8419,82.11,77,100,8.12
190,Uvat,RU,2021-11-27 19:00:54,59.1433,68.8953,29.01,88,99,12.88
191,Kungurtug,RU,2021-11-27 19:00:54,50.5994,97.5228,-6.39,97,62,1.81
192,Santo Domingo,DO,2021-11-27 19:00:10,18.5001,-69.9886,86.36,50,16,6.13
193,Santa Vitoria,BR,2021-11-27 19:00:54,-18.8386,-50.1214,81.36,73,52,11.39
194,Cairns,AU,2021-11-27 18:56:00,-16.9167,145.7667,75.15,100,70,1.14
195,Ola,RU,2021-11-27 19:00:55,59.5833,151.2833,-4.34,86,36,9.53
196,Vila Franca Do Campo,PT,2021-11-27 19:00:55,37.7167,-25.4333,61.21,76,9,7.29
197,Zhigansk,RU,2021-11-27 19:00:55,66.7697,123.3711,-4.11,99,100,3.58
198,Hasaki,JP,2021-11-27 19:00:55,35.7333,140.8333,39.6,51,0,12.57
199,Upernavik,GL,2021-11-27 18:59:25,72.7868,-56.1549,14.43,95,89,5.37
200,Taltal,CL,2021-11-27 19:00:56,-25.4,-70.4833,69.08,58,22,8.59
201,San Patricio,US,2021-11-27 19:00:56,28.017,-97.5169,55.26,63,100,4.56
